depot,street,country_code,city,bu_code,lat,lng,post_code
0449,"ZA Pentaparc, Rue Jules Henriot",FR,Vannes,002,47.65857,-2.69691,56000
0450,97 Rue de Fenouillet,FR,Toulouse,002,43.629414,1.4217994,31200
0451,Rue Camille Flammarion,FR,Merignac,002,44.82644,-0.69239,33700
0452,1145 Avenue Margot Duhalde,FR,Mauguio,002,43.592083,3.966806,34130
0453,23 Rue Ettore Bugatti,FR,Limoges,002,45.8945,1.27636,87280
0454,20 Rue Francois Thermes,FR,Puygouzon,002,43.91764,2.07934,81990
0455,1 rue Edmond Besse,FR,Bordeaux,002,44.88713,-0.54177,33300
0456,9 Rue du Haut de Laval,FR,Roissy CDG CEDEX,002,48.9917289,2.5422812,95700
0457,9 Rue du Haut de Laval,,Roissy CDG CEDEX,002,,,
0458,,FR,Chronopost FR parcel label numbering,002,,,
0459,,FR,Chronopost network central event,002,,,
0460,100 Rue des Levades,FR,St-Pantaleon-de-Larche,002,45.15251,1.467514,19600
0461,Rue Joseph le Brix,FR,Blagnac,002,,,31700
0462,Zone Logistique Arenc,FR,Marseille,002,43.31701,5.36723,13002
0463,250 Allee de la Volla,FR,Veurey-Voroize,002,45.263704,5.621205,38113
0464,Chemin du Fond des Vallees,FR,Octeville sur Mer,002,49.549724,0.237171,76930
0465,91 Rue Paul Giraud,FR,Chambery,002,45.58785,5.88457,73000
0466,13 Bvd Ney,FR,Paris,002,48.898506,2.364892,75018
0467,37 Quai de Grenelle,FR,Paris,002,48.852235,2.286072,75015
0468,Allee des Electriciens,FR,Saint Laurent du Var,002,43.702477,7.183156,06700
0469,11 rue de l'Ayguelongue,FR,Buros,002,43.325515,-0.30228,64160
0470,331 Rue de Rome,FR,Perpignan,002,42.79682,2.87883,66000
0471,ZI Molina la Chazotte,FR,St Jean Bonnefonds,002,45.46709,4.43408,42650
0472,1 Rue Rimbaud,FR,Decines Charpieu,002,45.74922,4.93595,69150
0473,Barre de Fret - Portes 23 A 31,FR,Lyon St Exupery Aeroport,002,45.72035,5.08666,69125
0474,Z.A.C. de la Bobinerie,FR,Saint-Georges-des-Coteaux,002,45.760831,-0.676276,17810
0475,18 rue du CDT Cousteau,FR,Portes-les-Valence,002,44.893936,4.863829,26800
0476,Parc d'activite de l'Aerodrome Oues,FR,Rouvignies,002,50.33477,3.44053,59220
0477,2260 Route des Cretes,FR,Sophia Antipolis,002,43.626076,7.048618,06906
0478,6 Rue Sebastienne Guyot,FR,Tregueux,002,48.466525,-2.784424,22950
0479,ZI de Braille - Route de Chasselay,FR,Lissieu,002,45.87129,4.74777,69380
0480,Route de Chevry et Route de Ferolle,FR,Brie Comte Robert,002,48.70029,2.61554,77170
0481,105 Rue de Tolbiac,FR,Paris,002,48.823908,2.366167,75013
0482,ZAC Saint Charles,FR,Fuveau,002,43.46428,5.60746,13710
0483,ZA de l'echange,FR,Chemaudin,002,47.21226,5.905816,25320
0484,ZA Le Castellas,FR,Montredon des Corbieres,002,43.18465,2.92942,11100
0486,40 Rue Pierre Allut,FR,La Roche sur Yon,002,46.66846,-1.34526,85000
0487,740 Avenue de la Quiera,FR,Mouans Sartoux,002,43.6058918362049,6.95185445555548,06370
0488,1 Rue Edmond Besse,FR,Bordeaux,002,44.8869,-0.54227,33300
0489,46 Bd Andre Citroen,FR,Aulnay sous Bois,002,48.958891,2.485885,93600
0490,"Rue Nikola Tesla, Zac Batipolis",FR,Aiffres,002,46.2910781,-0.4608598,79230
0491,61 Boulevard du Commerce,FR,Puget sur Argens,002,43.451775,6.694064,83480
